image_path,mineral,durete
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_1.jpg,azurite,3.69
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_10.jpg,azurite,3.98
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_11.jpg,azurite,3.87
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_12.jpg,azurite,3.8
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_13.jpg,azurite,3.58
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_14.jpg,azurite,3.58
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_15.jpg,azurite,3.53
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_16.jpg,azurite,3.93
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_17.jpg,azurite,3.8
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_18.jpg,azurite,3.85
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_19.jpg,azurite,3.51
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_2.jpg,azurite,3.98
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_20.jpg,azurite,3.92
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_21.jpg,azurite,3.61
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_22.jpg,azurite,3.59
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_23.jpg,azurite,3.59
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_24.jpg,azurite,3.65
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_25.jpg,azurite,3.76
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_26.jpg,azurite,3.72
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_27.jpg,azurite,3.65
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_28.jpg,azurite,3.81
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_29.jpg,azurite,3.57
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_3.jpg,azurite,3.65
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_30.jpg,azurite,3.68
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_31.jpg,azurite,3.73
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_32.jpg,azurite,3.89
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_33.jpg,azurite,3.6
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_34.jpg,azurite,3.76
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_35.jpg,azurite,3.8
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_36.jpg,azurite,3.52
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_37.jpg,azurite,3.8
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_38.jpg,azurite,3.59
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_39.jpg,azurite,3.53
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_4.jpg,azurite,3.97
C:/Users/dembe/Desktop/projet_minerai/images\azurite\aug_40.jpg,azurite,3.98
